0.0,0.0
8.066666666666663e-12,1.1084387747939399e-13
5.627041092743618e-11,7.731253692799805e-13
1.922284221094235e-10,2.64010309100615e-12
4.627816850096985e-10,6.3518160488273915e-12
9.140037080153774e-10,1.2534725830209969e-11
1.5912091500631276e-09,2.180231400625286e-11
2.5389623642025112e-09,3.4755407548464596e-11
3.801085856759497e-09,5.1982368531183725e-11
5.42066866150856e-09,7.405925325429379e-11
5.2540079627018524e-09,1.0000071511274386e-05
2.7894454613750916e-09,2.9999632590220097e-05
-3.874712491944309e-10,4.999756924688128e-05
-4.314011151255573e-09,6.999228052013211e-05
-8.929450687033514e-09,8.998218760586191e-05
-9.083914271167389e-09,9.996580352554888e-05
-4.022600957912683e-09,9.994200857370831e-05
1.8527407279939053e-09,9.99104407267628e-05
8.469058664335067e-09,9.987120862988917e-05
1.580826711331345e-08,9.982441984599819e-05
2.3906360281362525e-08,9.977018086920526e-05
3.279868812389397e-08,9.970859708619723e-05
4.251996364992375e-08,9.96397727854332e-05
5.3104270236717244e-08,9.956381116790559e-05
6.458506887099936e-08,9.948081435782243e-05
7.699520531815786e-08,9.939088341323023e-05
9.036691721597876e-08,9.929411833645071e-05
1.0473184109514077e-07,9.919061808436955e-05
1.2012101932978742e-07,9.908048057865739e-05
1.3656490701790258e-07,9.896380271589642e-05
1.5409337879200368e-07,9.884068037760775e-05
1.7273573556081796e-07,9.871120844018041e-05
1.925207111826226e-07,9.857548078470176e-05
2.1347647907092722e-07,9.843359030669115e-05
2.3563065873316854e-07,9.82856289257374e-05
2.590103222430812e-07,9.81316875950414e-05
2.8364200064740027e-07,9.797185631086433e-05
3.0955169030754856e-07,9.780622412188269e-05
3.3676485917695016e-07,9.763487913845117e-05
3.653064530146093e-07,9.745790854177435e-05
3.9520090153558516e-07,9.727539859298764e-05
4.264721244989883e-07,9.708743464214889e-05
4.591435377341178e-07,9.689410113714167e-05
4.932380591053507e-07,9.669548163249056e-05
5.287781144163882e-07,9.64916587980896e-05
5.657856432544597e-07,9.628271442784483e-05
6.042821047750805e-07,9.606872944823172e-05
6.442884834279541e-07,9.584978392676876e-05
6.858252946245945e-07,9.562595708040747e-05
7.289125903482478e-07,9.539732728383912e-05
7.735699647066864e-07,9.516397207772045e-05
8.198165594284384e-07,9.49259681768185e-05
8.676710693030132e-07,9.4683391478075e-05
9.171517475656757e-07,9.443631706859176e-05
9.682764112273206e-07,9.418481923353824e-05
1.0210624463499834e-06,9.392897146398113e-05
1.0755268132685318e-06,9.366884646463566e-05
1.1316860517590641e-06,9.340451616154173e-05
1.1895562861545463e-06,9.313605170966495e-05
1.2491532304082087e-06,9.286352350042256e-05
1.3104921931052148e-06,9.258700116913605e-05
1.3735880824231135e-06,9.230655360241033e-05
1.4384554110415864e-06,9.202224894544017e-05
1.5051083010019847e-06,9.17341546092457e-05
1.5735604885171563e-06,9.144233727783676e-05
1.6438253287320478e-06,9.114686291530701e-05
1.7159158004355794e-06,9.084779677285789e-05
